"response","PYY","TTC15","VPS45","MBNL1","BBOX1","MAML1","DNAH2","CXorf56","CR1","FLJ10154","PEG10","PER3","GNB1L","GPX7","LARP5","KIAA0319","KCNJ9","DIRAS3","ORC3L","ORM1","ATF5","TRAPPC2","WWP2","KIAA0494","PARP1","PIM1","MTERF","PPRC1","SH2B1","BTN2A3","CTH","C2orf28","TIMM8A","GDAP1L1","C7orf43","WNT2","ALG5","GMPPB","LAMB1","LILRA3","TMCO1","WDR19","SLC43A1","CDC16","MBTPS1","SPTLC1","YWHAH","EAPP","SLC7A5","CACNG3","ZNF764","IFRD2","KLK14","SERPINB9","SULF1","MEA1","STRN4","CROCCL1","PCOLCE","CCDC44","DAK","ANKS1A","CCS","TACC3","DUSP9","FAU","CACNA1C","SLC9A3","TCEAL2","SNED1","COX7A2","MPL","PRNP","SERPINA10","DLGAP4","CADM3","COPZ1","POLR3D","HOXC10","PLCL2","CTSO","IL10","FLG","TERF2IP","FGF13","CARKL","ACVR2A","CTSB","SMARCD3","AMFR","GDI1","ZNF337","B3GALNT1","SLC38A2","GP6","BCAM","IER3IP1","PLEKHA4","ASGR1","NR4A1","FNDC4","PMS1","URG4","CDX1","KIAA0888","IGSF6","CXorf34","FYN","PRSS16","FLJ20294","TRIM32","KLHL21","RPS4X","HABP2","NT5DC3","PSMD13","TUSC4","C1QBP","HDHD3","COL8A1","CEL","TICAM1","ZNF654","DCI","HOXD9","EEF1A2","GLTSCR2","NBR2","MEX3C","SPINK1","C16orf5","HIST1H4A","SMNDC1","N4BP1","SLC4A2","EEF1A1","BZW1","FLT3","CEP350","FBXO41","GTF2A1","ATXN7","DKFZp547H025","PGRMC1","KIF25","ZNF117","TSSK1B","WBP4","ZNF473","LARP1","BEX1","FNBP4","OXSM","GNPAT","SLC4A7","MMP12","IGF2","FXYD1","LARS2","RPL6","AVPR1B","RNASE3","TRAM1","AARSD1","SMARCB1","NANOS1","FGF1","ATP2C1","IER2","SEC13","CUTA","TRIM36","DAZL","FOXM1","RNF146","FCHO1","HNRPUL1","LEMD3","MTMR11","WWOX","MLYCD","APBA1","FABP6","COL9A2","APLP2","ZFYVE9","NLGN4X","MOXD1","ARL4D","PANK2","KIAA0776","IL32","PEX5L","FAM107A","LOC200383","KIAA0515","PSMD7","MYCT1","NRF1","CECR1"
1224,3.359291387,6.712606657,7.245509621,7.250846598,5.235237696,7.421912523,3.99670656,5.930334086,3.090418722,8.720840217,7.805723506,5.018272523,3.883822823,6.673372163,4.303395734,4.501082021,3.469772466,3.60057129,6.014176985,3.101355226,4.936062501,6.308412778,4.65533866,6.975514334,7.816740231,5.335442696,6.423930815,5.485432699,4.888567592,3.916813682,3.84702656,9.386674148,4.465003091,3.17194778,4.906409973,4.17233182,7.596247321,5.143202733,6.359251836,3.058252065,3.96078617,6.473847547,3.654163666,7.878031074,5.406728958,6.666511711,6.376981966,6.758057975,4.258061192,3.308298058,4.612140144,6.513159282,3.289852574,3.888157675,8.705021145,8.088362212,5.939981145,7.06590009,6.63352709,6.503387215,3.747450026,6.321010103,4.939461115,5.901637361,3.524658639,9.890277174,3.152726443,3.456969855,9.230160613,4.006047803,10.58347776,3.178904608,7.478088713,3.385946899,5.122359134,3.506518607,7.47005111,4.706217124,3.347097538,3.916457637,5.849719679,3.313170075,3.322496076,7.211391953,3.600856403,5.281374006,5.500518914,9.671599265,7.436191758,5.063193116,7.473041902,6.282887353,4.961227287,9.909934456,4.133551615,7.581861534,6.800473085,4.431682119,3.463502921,4.994039771,4.734247567,7.72491244,6.303534117,4.483322904,4.144286061,3.572434013,4.542977404,5.447023807,5.91800499,4.392517236,5.98012589,5.792346972,12.2260489,3.552164363,3.613431805,5.60488754,5.249421504,5.356662051,4.587713204,2.967708766,4.83381063,4.381357852,4.763130085,6.263858311,3.807121498,3.790350784,10.89420143,3.725076214,8.229408392,3.407445031,4.177098763,2.962950884,7.986698527,5.686929518,5.62035207,11.88387641,8.649748895,3.128899926,7.457569252,4.056334244,3.554444233,4.582081898,3.108751436,9.080483319,3.627256223,4.452257707,3.28706147,4.725135934,4.630454334,7.073962237,8.177666801,6.788511943,6.1530963,9.788146185,4.566650204,3.015808227,4.615295898,4.045169563,6.452585501,10.68826899,3.935453921,3.479117108,7.922207091,4.945600112,6.052945428,6.748050931,3.486328938,6.076803693,8.87957708,8.386586535,9.849341624,3.719032692,3.050678355,6.253914985,4.68515781,4.037511933,8.337211918,7.214767184,4.965977465,4.415326186,4.561594445,3.632864218,3.125105048,6.005599195,6.309045659,4.413040603,7.700287201,4.897464849,6.085495314,7.861076112,6.808105456,3.892334082,3.111389622,8.861479029,4.029151051,6.794612886,6.816395233,3.64158864,4.294927787,6.995164783
1247,3.048816606,6.613112512,7.430293788,7.033667989,3.515635359,7.399232804,3.395262165,5.487923426,2.968220561,8.097226347,6.144028651,4.655173436,4.313722972,6.641731838,4.750555297,3.240952733,3.689818225,6.35218746,6.354641776,2.877520145,4.631325731,6.492545508,4.929744572,6.959925368,7.01274285,6.208740419,5.764472757,5.933720186,4.585659092,3.761957162,3.332290103,9.502231132,4.523231592,3.192345045,4.657826517,4.868930477,7.911880552,6.217148932,7.320005975,3.204919293,7.142639498,5.452550437,3.911524293,7.610896087,6.059456362,6.481917778,7.24250993,6.209840935,5.182593184,3.132705399,4.585516179,6.731796522,3.165396056,4.390526119,6.756191026,8.260786332,5.495940152,7.483818237,7.489782071,5.460497017,3.652277261,7.184255193,5.666515937,6.156737977,3.08394639,10.78570509,3.151398757,3.450300209,6.706141119,5.038178869,10.38186332,3.115731253,8.07492623,3.491585115,4.813813967,3.661840279,7.354291492,4.445859145,3.473620912,4.680710628,6.80167876,3.716623247,2.808864631,7.692580386,5.619833763,4.919090725,6.006184122,9.01812902,5.777795185,5.597346864,6.829932891,6.176786741,5.436458028,9.760861032,3.880382815,7.271420282,5.705898954,4.418776669,3.500312723,5.669789808,5.09592236,7.427304275,6.440092553,4.590072789,4.493252738,3.763445,4.182190342,6.532694788,4.254584479,4.634431643,5.470001445,6.803994007,12.55196073,3.448396517,3.889619076,6.208165133,5.209141123,6.452813328,4.318922976,2.891889922,2.979792895,4.533625239,4.643916726,7.267647966,3.864064733,3.42950086,11.66726317,3.259950387,7.033779547,3.061780877,4.211037042,3.455293854,7.648931554,5.813673075,5.441475923,12.55869058,8.133719669,3.317641705,6.557131192,4.362465854,3.721254424,4.37640364,3.028595934,8.195393836,3.529132161,3.845668734,2.945225379,4.870229902,4.418772681,7.612982976,6.663195198,6.924922568,6.46645789,8.869647212,4.395766185,3.058861934,6.34056636,5.395506026,6.474022763,11.41957731,4.237341126,3.488007182,8.61719638,4.29994372,6.06838501,5.603412982,3.693419851,6.30320981,9.591920851,9.399479515,9.938738411,3.689409076,2.973278967,5.334889062,4.56818159,3.896171992,8.462710445,7.423615294,5.145724467,4.873871839,5.038775349,3.529834788,3.358147059,4.811697085,7.891875,4.200282611,7.271694688,4.295110858,5.26316631,7.2760862,6.708345518,5.17614849,2.908656487,7.201684528,3.429922082,6.351109618,6.811211118,3.496849634,4.073437013,6.366649715
55,3.135713356,6.74277837,5.962812712,6.571438457,6.083022505,6.686257607,3.414181589,5.626909348,3.230680441,6.566718945,5.596971119,4.389635409,4.851149589,4.867064243,4.837205592,4.190617591,3.691038374,3.763573662,6.347938008,3.449600692,4.350194229,5.593683014,4.490750029,6.939598762,5.903715837,5.667496854,6.07902067,5.767410202,5.141589231,3.954027203,3.67565376,8.995188338,5.43834986,3.335717866,4.749555729,4.376145266,6.356761574,5.497924301,5.011216163,3.349302154,5.981747387,6.199759199,3.781003046,6.579309952,5.229996094,5.997939725,5.947065782,5.398542129,5.60811492,3.1841014,4.302775288,6.247315053,3.73474786,4.02686009,5.787151106,8.384412382,4.764915618,6.797914588,5.004978553,5.405608807,4.26095355,6.139005276,5.005208712,6.066368114,4.037710153,11.37461686,3.155027572,3.839237529,4.465438613,4.383110721,10.39407156,3.171319909,6.059462303,3.730096412,4.893512811,3.742784845,6.999574194,4.19617961,3.719261381,4.768173621,5.40055271,3.431748804,2.708309309,6.597572719,3.61670139,4.902759856,5.050644813,9.192769588,7.857222174,4.83084882,8.573480659,5.345281111,3.742479882,9.5447968,4.061156416,6.358897573,4.865832554,4.198693673,4.033566336,5.153036906,4.530159952,6.096359834,6.050462977,4.611736269,3.92596265,3.832736875,6.659232474,5.055662413,5.928063435,4.619559653,4.786231334,5.335183015,12.76147028,3.770799472,4.319849736,6.151880568,4.991571409,4.760119119,5.032411021,3.451997104,4.274825434,4.645684266,4.281411929,6.285330672,3.789072302,3.879698502,11.24876437,4.210011485,6.599887878,2.99388831,3.803456759,3.422480465,7.36656728,5.256402354,5.159111122,12.41510668,7.161950064,4.094871494,6.290210699,4.068080555,3.710375235,4.724709934,3.077600705,8.604475521,3.753651041,4.706856941,3.026891488,4.146180824,3.879925708,8.126379467,5.726898425,6.740431556,5.590426806,8.317494594,4.495683175,3.215163106,4.693469517,3.733167522,5.445698911,10.9730214,4.451044301,3.826217467,7.6657178,4.638563737,5.481986737,6.197416791,3.61574861,5.932494663,9.396323997,8.48314094,10.34688417,3.576964274,3.401039646,4.998428513,3.219190386,4.615121421,7.23408255,5.67956085,4.810397181,4.982744093,4.652673994,3.622150264,3.474494191,4.814065483,6.216213137,4.21517081,5.946491901,3.783964592,5.052306515,7.613647063,6.471205345,3.683956656,3.543834716,7.130464359,3.679339204,6.452057325,5.060521625,3.528955765,4.24048711,7.941508859
1495,3.285454995,7.313339081,7.508146939,7.332529136,7.725971334,6.586244119,3.683025756,5.384192599,2.927491348,8.626538997,6.290149095,5.231259567,4.022677158,4.386822527,4.830584353,3.767376759,3.420593393,3.558773241,7.175270245,3.092073019,5.56170852,5.860480429,4.478464757,7.495937226,6.73920005,5.24716436,6.155141405,6.417911732,5.714376651,3.979602429,3.171281727,9.722862343,4.189959199,3.077436252,4.750214857,3.854698539,6.89674019,4.740942778,4.345942817,3.101142793,6.176347118,7.450861742,3.88960478,8.38023143,5.480124057,5.621669712,6.631773442,7.453187224,4.265881262,3.389668359,3.951883721,5.585916574,3.281388722,4.490445118,9.355574914,8.764332633,5.114794788,7.507077321,5.881073714,5.770058822,4.696666622,5.962005827,5.561299018,6.341385123,3.429790455,10.97034712,3.125829169,3.80350869,3.652878007,3.44143261,10.26750395,3.167107699,5.775493941,3.528178294,4.250193876,3.6068745,6.789505487,4.262825776,3.504986119,4.779966169,6.59500018,3.42201432,2.903504391,7.107170612,3.28997088,4.375010521,4.833292192,10.31542628,5.733969023,4.88445497,6.931698947,6.196659003,4.812852498,10.99991246,4.469360734,7.711931167,5.55080537,4.768491879,3.613549948,4.824413317,4.230600119,6.772986436,6.67571147,4.370463394,3.223738516,5.247622474,5.029547745,6.813634914,4.687842316,4.819494035,4.919644879,6.989582032,12.37221506,3.606012498,4.256900868,6.53572128,4.839911132,5.393189586,4.665992602,2.980319426,4.009568101,4.61710668,5.076970174,6.888583849,3.575820696,3.566246864,11.37640695,3.578699881,6.70492577,3.214851208,3.643962402,3.222639416,7.721394519,5.573118529,5.461694386,12.28827357,6.579966018,3.447095211,6.386866327,4.45791312,3.969447654,4.428045747,3.036851226,8.909960817,3.774055796,4.812513913,3.062300973,4.096070077,4.597437347,7.355180085,3.478057475,7.5314099,6.12282452,8.465256622,3.969220327,3.439914943,3.527577347,3.985790788,4.920244623,11.08762065,3.997678345,3.771867634,7.394454321,5.152992669,5.297417152,5.186076901,3.572678372,6.3506611,9.072970623,8.18540146,10.21527496,2.93799739,3.113214057,5.014952838,4.055858486,4.541113044,8.158742805,6.860675261,4.851908942,4.674569552,4.486990506,3.773847298,3.202213521,4.920360398,7.274571527,4.123974861,3.48697443,3.567291971,3.94054185,6.529398263,6.752430365,5.4622907,3.23413402,6.616307878,3.68444612,6.547409749,6.058126029,3.411603307,4.030001771,6.438640222
61,3.142490708,6.47351043,6.847076946,7.032572952,6.533318324,7.080487385,3.703067864,5.514444386,3.069250779,9.068069892,6.667492306,4.441033359,4.494005905,5.695426694,4.617816281,3.651114774,3.37920013,3.278922978,5.561529421,3.193860999,4.331155045,6.112917009,4.720355745,6.187834861,6.101736404,4.723333057,6.135460206,6.181394483,4.93321897,3.956228136,3.429499072,9.088666299,4.995308519,3.168194047,5.108623037,4.590124201,8.989428457,5.775963262,7.719419844,3.064048023,6.566154984,6.36432839,3.606346809,7.849133226,5.797152992,7.072519618,6.571469358,6.778123664,5.392646282,3.041550541,4.471201996,6.462678122,3.30730144,4.475369787,8.803663879,7.353975437,5.297503775,6.704304939,8.74047232,5.84679832,4.113723411,6.767765093,5.022868455,5.087691378,3.17690176,10.58907767,3.16895607,3.399269187,5.142684677,4.177588491,10.62506467,3.211728361,8.279828754,3.312782021,5.096800393,3.355524642,8.776725583,4.300521538,3.82810907,3.954637584,7.167134504,3.742072136,9.526716286,7.408639812,4.094660842,4.987629373,5.646444009,9.419151515,7.442772942,4.545237295,7.103338399,5.706146917,4.368885275,10.2828759,3.776059377,7.291467793,6.438032653,4.397361413,3.405501561,4.74311276,4.494527614,7.204994045,5.976741971,4.911518533,4.289447923,4.501788359,4.251528496,6.476958139,3.356519538,4.299770902,5.971901343,7.377999368,12.62974281,3.396549256,4.851676613,5.942928949,5.064810511,6.048879452,4.011980135,2.809131833,4.072825918,4.89200818,5.017321228,6.213350783,3.764608616,4.035638641,11.4655192,4.01696671,7.392050481,3.24409725,4.488636847,3.197495682,7.662385768,5.647076072,5.660237724,12.54696721,8.262080647,3.421192937,6.495471412,4.082832363,3.570396814,4.33306033,3.000820124,8.909011073,3.535492887,4.091681209,2.953930079,5.206973644,4.211780932,8.012893879,7.381667174,7.307587032,6.782413588,8.795717563,4.32216321,4.00993469,11.35488641,4.64514936,6.711335088,11.56053575,4.227888969,3.674113264,8.481142748,4.982318821,5.536234289,6.710124528,3.396812231,5.889671987,8.300643441,9.545696861,9.97174184,3.693346892,3.03319562,4.151809514,4.900011886,4.56368669,6.893364307,7.218452821,4.583996552,4.339776758,4.972723571,3.538224698,4.867198507,4.586290971,6.832578022,4.199341202,7.318593559,4.567037527,5.527294203,7.640530149,6.496704716,5.767166283,3.178097206,6.392021386,4.108819379,6.789336726,7.09299387,3.273043876,4.07077871,5.131483188
1418,3.30465379,7.387363295,6.886171848,6.815497343,3.48098959,7.117944883,3.689228297,5.394512936,3.332932397,7.181393876,6.302885847,3.933721537,4.3615974,5.799262647,5.149310654,3.732169703,3.45607725,4.252062779,6.534972611,2.994934225,4.560456689,5.276144573,5.226777597,6.634253038,6.462001938,6.682495304,5.397609749,6.939872403,4.635240961,3.983063356,4.026958165,9.339458458,4.945780657,3.405163542,5.286665059,3.915853582,8.178805246,5.239642811,7.228285712,3.663597951,6.937063596,6.04256181,3.790705844,7.647915538,5.533530189,6.387262837,6.94190515,7.026199721,6.474711036,3.241320003,4.98071313,6.073136566,3.284809418,4.612923039,7.770359826,8.641779787,5.526008077,5.32802183,8.149382141,6.129457387,4.014308111,6.739431437,5.217916146,6.301703828,3.600129219,10.59831494,3.187259937,3.426781858,5.526645493,3.779681187,10.8886538,3.124407699,7.039704241,3.449168045,5.032688966,3.698631762,7.252420445,4.665345026,3.917113263,3.985987646,6.41078296,3.904358441,2.773781614,8.123733217,5.25124069,5.309779692,6.209796621,9.396020154,4.959484471,5.972123163,7.106336256,5.807655516,3.877969218,10.17558168,3.826010165,6.806851859,6.398199735,4.081459382,3.595740651,5.862852703,4.391028779,6.559581079,5.715176086,4.728640811,3.595014413,4.995885645,4.770388764,6.839299242,4.735813814,4.581359555,5.133833472,5.957073428,12.218817,3.212106857,3.999015407,6.036385265,5.07627363,5.953337695,4.106671717,2.773688264,4.260340852,5.254495817,4.884834274,6.536775805,3.600570382,4.022937857,11.57097359,3.548189748,7.840145651,8.111321482,4.30914977,3.248246968,7.480702205,5.901233351,6.855626447,12.64974857,8.307788511,3.468432757,6.831004287,3.917226194,4.188382841,4.411937365,2.966949312,8.164299004,3.656843692,4.156476762,2.947796454,5.048279318,4.753981493,8.405180685,4.112224563,6.711363028,6.633662997,8.225652131,4.49704316,6.211574351,12.01366054,3.718614292,5.820819071,11.29151332,4.284214538,3.821752479,8.252260755,4.764631697,5.756815273,5.839305009,3.639473862,5.865145362,9.727206284,9.532551643,9.377297524,3.524101193,3.109280225,5.408434962,4.809691796,3.696324581,7.619848536,7.599473861,4.486881902,4.514997512,4.471899427,3.559288741,5.573892381,5.278442085,7.305394793,4.105181031,4.216421128,4.699140214,4.584624114,7.145556405,7.123725799,6.77639277,2.943636861,5.616767002,3.643174262,6.600994516,6.366883523,3.471607993,4.106551439,6.891393149
563,3.17311866,7.609771776,8.276944789,6.712625967,6.599811394,7.282654938,3.773322148,5.163380803,2.990979487,7.915397548,7.121323087,4.709039837,4.154790611,5.491840989,4.77936148,3.529006302,3.313408283,4.715142458,6.635142852,3.081030373,4.818569208,5.042287431,4.1806126,7.615794738,7.497123707,4.607139515,6.407212388,5.69386529,5.215900726,3.91372297,3.328781603,9.656204327,4.555978797,3.122446662,5.213922818,4.002550483,7.675967475,4.81494657,6.123378175,3.047056496,6.607146628,6.996833681,3.639849958,7.310354972,5.269871459,6.512252551,5.758994457,6.490344364,4.288365671,3.134069512,4.48384271,6.397717974,3.255788728,3.908867362,7.931083201,8.468285205,5.722439112,7.500740269,6.969284014,6.219118582,4.013418947,6.418653285,5.41176595,6.588010938,3.364749707,10.82522841,3.081090042,3.538619017,4.042022354,4.007514953,10.66342596,3.272326508,6.674058185,3.67596403,4.877460327,3.522403255,7.851365798,4.7381334,3.763680229,4.569013509,7.517468037,3.382400277,3.021958976,6.643829003,4.000893689,4.673438915,6.360211876,9.838280933,6.659815744,4.608808995,6.886366684,6.302140486,5.318392757,10.62722471,4.0999489,7.555196913,5.636199106,4.435745408,3.38474858,5.551007875,4.388155013,8.348166761,5.868545932,4.58711492,3.947680095,3.545122853,4.632366142,6.791990032,5.279302532,4.520789146,5.392044977,5.912689006,11.93440428,3.479211,4.648497805,5.81626895,5.215293031,6.171938468,4.72419251,3.142642146,4.400822512,4.10489416,5.03111778,7.233007257,3.909440563,3.658943745,10.92749867,4.094835421,7.453667016,3.11233546,4.209152727,3.364757721,6.777023092,5.587335285,6.293976597,12.27431445,7.406863095,3.399760859,6.92657036,3.891158562,3.831056975,4.930447611,3.042334361,8.539160586,3.65188436,5.911792706,3.175267198,4.720277872,4.317790456,7.98991546,3.391112451,7.807196296,6.190616235,9.214983532,4.183216321,3.018995937,6.74557606,3.853286518,6.384030508,11.31846185,3.956989975,3.686190698,8.257364102,5.411382973,5.264932619,5.944891913,3.536683571,6.031934371,9.335297117,8.744593565,10.08757145,3.692828095,3.088173744,5.240777651,4.772075109,5.175714307,7.625960391,6.992299082,5.099892895,4.2648277,4.454093419,3.647610923,3.395024019,4.171547605,6.728800218,4.033742082,5.081794178,4.424036956,5.386171679,7.669147179,6.957519047,4.631542777,3.022333268,6.661691888,3.85386529,6.593489604,6.023357755,3.358516262,3.993534637,6.637285878
361,3.628362322,5.958392526,6.920940315,6.518217076,3.476895241,6.83228248,4.157578543,4.872576725,2.940474731,7.303210925,4.038395418,4.632416623,4.357998788,6.854138273,5.199685823,3.463610804,3.435603376,3.386593376,5.280604135,2.940516311,4.990016512,5.156671174,4.070937701,5.870558973,6.462551573,5.451463179,6.291612805,5.794401885,4.874483689,3.901930906,3.733971195,8.511387601,4.59046724,3.256963763,4.441986465,3.655905059,6.986523899,4.916863328,5.604293621,3.237280724,5.555803665,6.017600056,3.821805312,7.441858973,5.097728518,5.725108467,6.597440984,5.704040612,3.669872075,3.279215519,4.099909263,6.354599138,3.852313761,4.154899828,7.710791618,7.974449514,5.293210196,6.562250228,6.861466251,5.464353799,4.399967986,5.7723475,5.443805192,5.474598781,3.944112661,10.73487477,3.150133859,3.678266576,4.048251709,3.979535184,9.577344574,3.414869849,6.936291068,3.716258374,4.864781716,3.753733968,7.209040846,4.629050618,3.627447608,4.103077582,5.950933252,3.263711772,3.026127436,5.779777957,4.228577399,4.844399574,5.734634999,9.838154051,5.849607351,4.589461424,6.458569071,5.982208609,4.795261959,9.800338587,3.98841599,7.654298189,5.61020279,4.074442844,3.439802356,5.769666363,4.259819394,7.02725522,5.86677323,4.479566277,4.844591418,3.935001162,4.424453497,5.142444277,3.537977987,4.28237172,4.526517865,6.966722999,12.27745938,3.59688652,4.182908346,6.187795754,4.80205738,6.718071467,4.072859275,2.908647143,3.309371572,4.871925536,4.859475165,6.800804932,3.91416046,3.568726091,11.55892852,3.676562635,6.003409651,3.266929337,4.383455265,3.370686742,6.529052308,4.924409405,5.368029739,12.07738784,7.301675783,3.26833011,5.602154123,5.108671367,3.518083176,4.671341836,3.183530893,7.426472847,3.813659181,4.07889953,3.277996066,4.387042304,4.907991965,8.149718749,3.685087213,6.891992703,6.513047086,8.186861721,3.961352627,2.999916844,9.203187717,4.564251035,5.130591143,11.20081421,4.199056726,4.134959566,7.272796774,4.85150239,5.853601869,5.355793724,3.734326447,5.473529381,8.617103765,8.93232921,9.709455237,3.138453837,3.113542359,5.006660452,4.655262985,5.216540579,7.477591286,5.953112612,4.315525925,4.215216589,4.480538399,3.639178612,5.871213318,3.792415391,6.619144414,4.656191995,3.894047816,4.436937063,4.96680721,7.518643072,5.528671102,5.5257785,3.19218037,4.240107251,3.727240879,5.480618271,5.579329175,3.20718163,3.94849307,7.119086768
1992,3.375158646,6.781480584,7.735165636,6.964068656,4.369145219,6.542707774,3.949472755,5.616316965,3.100211407,8.315044362,5.849297426,4.318551222,4.220727111,5.339432632,5.172775109,3.515364059,3.404425805,3.628784927,6.549219219,3.701100192,4.526296847,4.729926259,5.006151927,7.171503932,7.538818741,5.347192585,6.346751232,5.945012427,4.720505007,4.086870776,3.504465148,9.323884893,4.963341153,3.270043331,5.044610072,4.313745388,7.627661342,4.850579359,3.868662634,2.934344348,7.405229775,6.704482889,3.512055266,7.404763608,5.493026687,6.261103957,6.964733228,6.145858156,3.939675336,3.369078906,4.426416155,5.863368096,3.208520156,4.644040764,7.041811026,8.842808292,5.319286363,5.557922076,5.835544672,5.23264167,4.090099009,6.604519183,5.625545542,6.269916961,3.621821159,11.08960904,3.186995126,3.584482475,3.967861682,3.470890318,10.31215618,3.292304499,6.417866161,3.359061038,4.763476711,4.411540727,7.821890833,4.135512342,3.860635577,3.948680916,5.778313595,3.639001035,3.495287435,6.980312452,5.271999808,4.569094426,5.934126993,9.78714712,5.984170005,4.751825359,7.030475187,5.861757768,4.462438242,10.8332363,3.928211392,7.327086048,6.486838458,4.061181472,3.451219792,4.571585202,4.389904373,6.76366544,6.274059171,4.669772618,3.495371374,5.441252885,4.941678993,5.259229781,4.086509945,4.703044305,5.135881942,5.814480571,12.23090262,3.597902628,4.102323363,5.421057172,4.802745211,6.029551621,3.77434732,3.034615454,3.787399043,4.999762988,4.405139515,6.756029423,4.097846159,3.626776701,11.65601574,3.851359126,7.532033397,3.304523035,3.933766373,3.421214771,7.401394389,5.943770355,5.531244969,12.65665497,7.374391471,3.598794586,6.730578556,4.217416993,3.955738492,3.71265892,3.13196573,8.323297115,3.879452844,4.890551147,3.229623143,5.09864657,4.257471867,8.06112015,4.672561411,7.295695939,5.942626718,9.426031671,4.216075151,6.882419536,8.72645434,5.222960245,4.979346864,11.31648097,4.103895741,3.855035735,7.04957871,5.393960444,5.664104355,5.378628778,3.565732102,6.323294916,8.306896233,8.258658327,10.39904931,3.160746081,3.070699289,6.147710183,5.000718021,5.337567326,8.254839909,7.35164089,4.981722568,4.73032947,4.685602278,3.858094096,4.200547689,6.916607518,7.439908097,4.370393549,4.009393999,4.042871864,5.125141948,7.600938388,7.06666669,6.579371762,3.181957346,5.447246838,4.125399123,6.231376331,6.137071188,3.269344303,3.958806327,7.929697895
1918,3.338723735,7.57230216,8.297338082,6.658028931,3.443394581,6.885507219,3.469767002,4.84699912,2.879843279,7.881473326,8.623405646,4.865336449,3.663113526,6.512449809,4.836109989,3.978179587,3.678021621,4.230279079,7.131775339,2.992000707,4.893539566,4.577643879,4.648239951,5.894707228,7.346313397,5.028970699,7.453860018,5.995717128,5.143596368,3.754113245,4.039227819,10.1248158,5.765924427,3.427013157,5.179808582,4.057517667,6.996270469,5.055323152,5.037407869,3.055233773,7.710941662,7.295623359,3.834795554,6.787946487,6.176260517,6.360547063,5.831594772,7.190268083,3.46153103,3.343587364,4.820089736,5.860350843,3.246000456,4.154967486,5.822354931,9.086449528,5.999528691,7.298212373,6.481222463,6.208926129,4.16002681,7.324764807,4.761962537,5.550559509,3.658389326,10.75009032,3.340460688,3.578965862,7.339206568,3.354976377,10.96298079,3.219808551,6.027264671,3.539132181,5.031011739,3.419357421,7.428705962,5.586685998,3.728427098,3.640931889,4.086961779,3.280923372,2.932340295,7.220392351,5.275530053,4.906246457,6.368978765,9.270127335,5.754558481,4.452731651,6.340058711,6.224072647,5.324033964,10.54899366,3.586658628,7.378980081,5.80968532,4.1520157,3.389756574,4.75402718,4.30031988,7.695351818,4.852274418,4.530732563,4.548940173,3.276096852,4.26842021,6.412379253,3.289308745,4.292849446,5.457310859,6.964057724,12.70822878,3.713748445,3.907084671,5.828047167,5.069009138,6.687182045,4.064429481,3.053933668,3.448221438,3.739390849,3.89437557,7.12887366,3.647803689,3.545941431,11.65150898,4.124141669,6.731635995,3.322846878,4.261303566,3.651790442,8.24645691,5.860191117,6.085105604,12.59596642,8.146581571,3.144350484,6.421328432,4.328930306,3.546031191,3.714960788,2.915707451,7.793989014,3.604061801,5.557428175,3.120102268,4.602216661,5.725181918,7.840410869,7.355391964,5.997793324,5.773997765,9.789967786,4.080992977,3.102954601,6.22008734,5.205955035,5.876089441,11.80505658,4.086582993,3.58271236,6.201549632,5.707277078,6.448132694,5.776920015,3.742933757,6.608934959,8.139449555,8.026152432,10.67093206,2.821244289,2.916495269,5.052986708,4.328838566,3.933072516,7.742154085,7.410085886,4.688943377,4.050340743,4.859922783,3.339987515,4.043859519,8.193563409,6.954143494,4.479872879,4.998056147,3.947858151,5.121793707,7.851177904,7.331884749,3.457870423,3.239396913,4.613286108,4.011410692,6.149764637,6.616930627,3.621683014,4.087370089,4.383332779
